"uid","do_extid","do_aktid","do_titel","do_datum_start","do_datum_ende","do_ausstellungsort","do_umfang","do_band","do_bemerkung","do_edition","do_sperrfrist","do_sperrgrund","do_sperre_ende","do_entnommen","do_verz_protokoll","do_microfilm","do_reg_sgnatur","do_update","do_create","do_systematik1","do_systematik2","do_archivsignatur_alt","do_enthaelt","do_darin","do_aktentitel","do_beschreibung","do_verweis","do_kontext_link","do_transkription_link","do_reservefeld","do_dateiname","do_idart","do_teaserheadline","do_teaserbild","do_teasertext","URN"
"3108","1616","0","Nachdem die Regulierung offener Forderungen der Brüder Valten, Jacob und Urban (d. J.) Sehling gegenüber den Erben Sigmundt Breutgams, durch den Verweis an Schuldner aus dem gemeinsamen Handel in Böhmen, darunter Ulrich von Embden aus Magdeburg, zunächst gescheitert war, werden die Hauptverschreibungen über solche Schulden an die Gebrüder Sehling übergeben, um die offenen Schulden besser einfordern zu können, 7. Februar 1567.","1567-02-07","1567-02-07","Stadtarchiv Leipzig","4 Seiten",,,,,,,,,,,"2025-08-05 15:52:45","2025-08-05 15:46:29","06.11 andere Bürger und Einwohner","Geldangelegenheiten (privat)","Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 22, Bl. 114r-116v",,,"Ratsbuch Nr. 22","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1616_1_0008_Ratsstube_Nr._22_Bl._114r-116v.jpg;1616_2_0008_Ratsstube_Nr._22_Bl._114r-116v.jpg;1616_3_0008_Ratsstube_Nr._22_Bl._114r-116v.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.970148690634"
"3107","1615","0","Lazarus Sparsguth von Danzig bevollmächtig den abwesenden Gregorgium Beselmeier aus Magdeburg zur Einmahnung der Schulden des Claus Plato bei dessen Witwe, 8. Oktober 1567.","1567-10-08","1567-10-08","Stadtarchiv Leipzig","1 Seite",,,,,,,,,,,"2025-08-05 15:53:07","2025-08-05 15:46:29","06.11 andere Bürger und Einwohner","Geldangelegenheiten (privat)","Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 23, Bl. 94v",,,"Ratsbuch Nr. 23","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1615_0008_Ratsstube_Nr._23_Bl._94v.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.131921493084"
"3106","1614","0","Erbvergleich zwischen Anna Schneiders sechs Kindern, darunter Anna, Paul Wentzelaus aus Magdeburg Ehefrau, und Margreta Rappolt, Anna Schneiders Schwester, wegen der von Erstgenannter hinterlassenen Geldsumme und Gartenanteilen, 13. Juli 1562.","1562-07-13","1562-07-13","Stadtarchiv Leipzig","4 Seiten",,,,,,,,,,,"2025-08-05 15:53:40","2025-08-05 15:46:29","06.11 andere Bürger und Einwohner","Geldangelegenheiten (privat)","Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 18, Bl. 60v-62r",,,"Ratsbuch Nr. 18","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1614_1_0008_Ratsstube_Nr._18_Bl._60v-62r.jpg;1614_2_0008_Ratsstube_Nr._18_Bl._60v-62r.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.712309104318"
"3105","1613","0","Valten Wicht und Benedix Brauer, die Vormünder der Anna, Tochter des verstorbenen Gerbers Hans Wicht d. J., verkaufen deren Haus für 220 Gulden an den Gerber Hans Riese, um offene Schulden tilgen zu können, vom Geld werden 40 Gulden wird beim Rat hinterlegt und die Restzahlungen an die Gläubiger, u. a. Hans Grazs aus Magdeburg, vereinbart, 1. Mai 1553.","1553-05-01","1555-10-14","Stadtarchiv Leipzig","3 Seiten",,,,,,,,,,,"2025-08-05 15:54:38","2025-08-05 15:46:29","06.11 andere Bürger und Einwohner","Geldangelegenheiten (privat)","Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 10, Bl. 393r-394r","Enthält: Nachträge über den erfolgten Verkauf der Forderungen des Hans Straub aus Braunschweig an das Lohgerberhandwerk, weitere Hauszahlungsraten des Käufers sowie die Zustellung des Geldes an die Gläubiger, 12. Nov. 1553 - 14. Okt. 1555.",,"Ratsbuch Nr. 10","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1613_1_0008_Ratsstube_Nr._10_Bl._393r-394r.jpg;1613_2_0008_Ratsstube_Nr._10_Bl._393r-394r.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.182304950603"
"3104","1612","0","Der Böttcher Heinrich Voidt hinterlegt beim Leipziger Rat Geld von einem Hauskauf für verschiedene bis 1546 erfolgte Unterhalts- und andere Zahlungen, u. a. an den empfangsbevollmächtigten Adam Syring (Ziering) aus Magdeburg, 8. März 1542.","1542-03-08","1546-08-28","Stadtarchiv Leipzig","2 Seiten",,,,,,,,,,,"2025-08-05 15:55:29","2025-08-05 15:46:29","06.11 andere Bürger und Einwohner","Geldangelegenheiten (privat)","Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 8, Bl. 7v-8v","Enthält: Nachträge über erfolgte Zahlungen, 8. März 1543 - 28. Aug. 1546.",,"Ratsbuch Nr. 8","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1612_0008_Ratsstube_Nr._8_Bl._7v-8r.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.421316998357"
"3103","1611","0","Schlichtung von Streitigkeiten zwischen den Gläubigern der Dorothea Reichin und ihres Sohnes Bastian Grunewaldt, zu denen auch die Herrn Harckstrohe und Eweling Aleman, beide aus Magdeburg, gehören, sowie Festlegungen zur Schuldentilgung und zur Verteilung der bezahlten Beträge.","1532-05-02","1532-05-02","Stadtarchiv Leipzig","5 Seiten",,,,,,,,,,,"2025-08-05 15:55:57","2025-08-05 15:46:29","06.11 andere Bürger und Einwohner","Geldangelegenheiten (privat)","Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 6, Bl. 101v-103v",,,"Ratsbuch Nr. 6","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1611_1_0008_Ratsstube_Nr._6_Bl._101v-103v.jpg;1611_2_0008_Ratsstube_Nr._6_Bl._101v-103v.jpg;1611_3_0008_Ratsstube_Nr._6_Bl._101v-103v.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.887215420041"
"3102","1610","0","Hans Parthein verkauft sein Haus an Chuntz (Chunradt) Gunterrode, dabei wird die Anzahlung mit mehreren Ausgaben verrechnet, die Gunterrode im Namen Partheins u. a. an Erasmus Moritz aus Magdeburg getätigt hat oder noch tätigen will, 24. Januar1532.","1532-01-24","1553-06-16","Stadtarchiv Leipzig","3 Seiten",,,,,,,,,,,"2025-08-05 15:56:44","2025-08-05 15:46:29","06.11 andere Bürger und Einwohner","Juristische Angelegenheiten","Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 6, Bl. 98r-99r","Enthält: Bestätigungen über Erhaltene Zahlungen und Nachträge über Zahlungen des Damian Lunckwitz, an den das Haus später weiterverkauft wurde, 12. April 1532 - 16. Juni 1553.",,"Ratsbuch Nr. 6","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1610_1_0008_Ratsstube_Nr._6_Bl._98r-99r.jpg;1610_2_0008_Ratsstube_Nr._6_Bl._98r-99r.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.825254937168"
"3101","1609","0","Claus Fleischer wird aus dem Ratsgehorsam entlassen, in den er auf Ansuchen von Andres Hellwig aus Magdeburg genommen wurde, nachdem Hans Wegel für die Schulden gebürgt hat, 22. September 1835.","1535-09-22","1535-12-18","Stadtarchiv Leipzig","1 Seite",,,,,,,,,,,"2025-08-05 15:57:13","2025-08-05 15:46:29","06.11 andere Bürger und Einwohner","Juristische Angelegenheiten","Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 6, Bl. 234r","Enthält: Nachtrag über die Rückzahlung von Fleischers Schuld bei Wegel durch Heinrich Schwerl, 18. Dez. 1535.",,"Ratsbuch Nr. 6","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1609_0008_Ratsstube_Nr._6_Bl._234r.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.609172328585"
"3100","1608","0","Vintz Lichtenhain gelobt vor dem Leipziger Rat zu erscheinen und sich den Klagevorwürfen, er hätte Handwerkergesellen und Knechte nach Magdeburg abgeworben, zu stellen, 23. Juli 1534.","1534-07-23","1534-07-23","Stadtarchiv Leipzig","1 Seite",,,,,,,,,,,"2025-08-05 15:57:30","2025-08-05 15:46:29","04 Innungen","Gewerbe","Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 6, Bl. 196v",,,"Ratsbuch Nr. 6","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1608_0008_Ratsstube_Nr._6_Bl._196v.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.498655486175"
"3099","1607","0","Nachdem das dem Bildschnitzer-Obermeister Steffan Hermsdorff von Seiten der Maler- und Schnitzergesellen, darunter Heinrich Weis aus Magdeburg, anvertraute Geld gestohlen wurde, bittet der Meister um Zeit, um die Sache zu klären, 10. Dezember 1520.","1520-12-10","1521-04-18","Stadtarchiv Leipzig","2 Seiten",,,"Kunze, Jens, Das vierte Leipziger Ratsbuch 1512-1521 (Quellen und Forschungen zur Geschichte der Stadt Leipzig, 26), Leipzig 2024, Nr. 762.",,,,,,,,"2025-08-05 15:58:03","2025-08-05 15:46:29","06.11 andere Bürger und Einwohner",,"Stadtarchiv Leipzig, 0008 (Ratsstube), Nr. 4, Bl. 291r-291v","Enthält: Erklärung über Ersatzzahlungen an Meister und Gesellen durch Hermsdorff, 18. April 1521.",,"Ratsbuch Nr. 4","handgeschrieben, Tinte auf Papier, deutsch",,,,,"1607_1_0008_Ratsstube_Nr._4_Bl._291r-291v.jpg;1607_2_0008_Ratsstube_Nr._4_Bl._291r-291v.jpg","0",,,,"urn:nbn:de:gbv:ma26-2504070654554.187073042115"
