"uid","do_extid","do_aktid","do_titel","do_datum_start","do_datum_ende","do_ausstellungsort","do_umfang","do_band","do_bemerkung","do_edition","do_sperrfrist","do_sperrgrund","do_sperre_ende","do_entnommen","do_verz_protokoll","do_microfilm","do_reg_sgnatur","do_update","do_create","do_systematik1","do_systematik2","do_archivsignatur_alt","do_enthaelt","do_darin","do_aktentitel","do_beschreibung","do_verweis","do_kontext_link","do_transkription_link","do_reservefeld","do_dateiname","do_idart","do_teaserheadline","do_teaserbild","do_teasertext","do_urn"
"1504","1","1","Chilian Friederich, Prediger in der alten Stadt Magdeburg, quittiert über 18 Gulden jährlicher Zinsen, die er im Namen seiner Frau Anne und ihres Bruders Bartholomäus Jungermann vom Rat der Stadt Braunschweig empfangen hat, Magdeburg, Michaelis 1557.","1557-09-29","1557-09-29","Stadtarchiv Braunschweig",,,"Teil einer Akte mit anderen Schreiben des Magdeburger Rates und unterschiedlicher privater Absender aus Magdeburg an den Rat der Stadt Braunschweig.",,,,,,,,,"2025-06-18 07:30:53","2025-06-18 07:30:53","06.11 andere Bürger und Einwohner","Geldangelegenheiten (privat)","StA Braunschweig, B IV 2g: 11, fol. 2r",,,"Schreiben an den Rat aus Magdeburg","Eigenhändiges Schreiben mit aufgedrücktem Siegel des Ausstellers, dt., Tinte auf Papier, Archivvermerk (19. Jh.), Unterstreichungen und Transkription einzelner Worte mit Bleistift (20. Jh.).",,,,,"B_IV_2g_11_0001.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502050741103.127435034414"
"1505","2","2","Melchior Weinlaub bittet Henning Brabant, Sekretär des Propstes zu Diesdorf, um eine Zeugenaussage, Magdeburg, 17. November 1568.","1568-11-17","1568-11-17","Stadtarchiv Braunschweig",,,"Teil einer Akte mit anderen Schreiben des Magdeburger Rates und unterschiedlicher privater Absender aus Magdeburg an den Rat der Stadt Braunschweig.",,,,,,,,,"2025-06-18 07:30:53","2025-06-18 07:30:53","06.11 andere Bürger und Einwohner","Juristische Angelegenheiten","StA Braunschweig, B IV 2g: 11, fol. 7r f.",,,"Schreiben an den Rat aus Magdeburg","Eigenhändiges Schreiben, dt./lat., Siegel fehlt, Tinte auf Papier, Rückseite: Adresse.",,,,,"B_IV_2g_11_0003.jpg;B_IV_2g_11_0004.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502190648518.417763896565"
"1506","3","3","Rat und Innungsmeister der Stadt Magdeburg bitten den Rat der Stadt Braunschweig in einer Verleumdungssache ihres Oberstadtschreibers Johann Salige um einen Bericht, Magdeburg, 4. September 1606. Sie erinnern Braunschweig mehrmals (12. September, 3. und 10. Oktober) und sprechen dem Oberschreiber ihr Vertrauen aus, Magdeburg, Oktober 1606.","1606-09-04","1606-10-13","Stadtarchiv Braunschweig",,,"Teil einer Akte mit anderen Schreiben des Magdeburger Rates und unterschiedlicher privater Absender aus Magdeburg an den Rat der Stadt Braunschweig.",,,,,,,,,"2025-06-18 07:30:53","2025-06-18 07:30:53","02.01.05.01 Braunschweig","Juristische Angelegenheiten","StA Braunschweig, B IV 2g: 11, fol. 13r-37v","Beilagen: Schreiben von Hans Friedrich von Schierstedt, erzbischöflich magdeburgischer Kanzler und Hauptmann, mit Vorwürfen gegen Johann Salige, Halle, 19. August 1606 (Abschrift) und Leumundszeugnis des Braunschweiger Rates für Johann Salige, Braunschwei",,"Schreiben an den Rat aus Magdeburg","Ausfertigung, Sekretsiegel auf der Rückseite aufgedrückt, dt., Tinte auf Papier, Kanzleivermerk (17. Jh.), Archivvermerk (19. Jh.). ",,,,,"B_IV_2g_11_0008.jpg;B_IV_2g_11_0009.jpg;B_IV_2g_11_0010.jpg;B_IV_2g_11_0011.jpg;B_IV_2g_11_0012.jpg;B_IV_2g_11_0013.jpg;B_IV_2g_11_0014.jpg;B_IV_2g_11_0015.jpg;B_IV_2g_11_0016.jpg;B_IV_2g_11_0017.jpg;B_IV_2g_11_0018.jpg;B_IV_2g_11_0019.jpg;B_IV_2g_11_0020.jpg;B_IV_2g_11_0021.jpg;B_IV_2g_11_0022.jpg;B_IV_2g_11_0023.jpg;B_IV_2g_11_0024.jpg;B_IV_2g_11_0025.jpg;B_IV_2g_11_0026.jpg;B_IV_2g_11_0027.jpg;B_IV_2g_11_0028.jpg;B_IV_2g_11_0029.jpg;B_IV_2g_11_0030.jpg;B_IV_2g_11_0031.jpg;B_IV_2g_11_0032.jpg;B_IV_2g_11_0033.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503040624283.549043600504"
"1507","4","4","Bürgermeister, Rat und Innungsmeister der Stadt Magdeburg erkundigen sich beim Rat der Stadt Braunschweig über die dortigen Gewohnheiten bei der Huldigung gegenüber dem Landesherrn, insbesondere wie mit den Rechten der Familien umgegangen werden soll, deren Mitglieder zum Teil außerhalb der Stadt wohnen und dort Güter besitzen, Magdeburg, 29. August 1609. ","1609-08-29","1609-08-29","Stadtarchiv Braunschweig",,,"Teil einer Akte mit anderen Schreiben des Magdeburger Rates und unterschiedlicher privater Absender aus Magdeburg an den Rat der Stadt Braunschweig.",,,,,,,,,"2025-06-18 07:30:53","2025-06-18 07:30:53","02.01.05.01 Braunschweig","Juristische Angelegenheiten","StA Braunschweig, B IV 2g: 11, fol. 40r-43r","Beilage: Antwortschreiben des Rats der Stadt Braunschweig, 2. September 1609 (Konzept).",,"Schreiben an den Rat aus Magdeburg","Ausfertigung, dt., Sekretsiegel auf der Rückseite aufgedrückt, Tinte auf Papier, Archivvermerk (19. Jh.), Rückseite: Adresse, Kanzleivermerk (17. Jh.), Archivvermerk (19. Jh.).",,,,,"B_IV_2g_11_0034.jpg;B_IV_2g_11_0035.jpg;B_IV_2g_11_0036.jpg;B_IV_2g_11_0037.jpg;B_IV_2g_11_0038.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502260656077.554394165472"
"1508","5","5","Johannes Winter, Lic. theol. und Diakon am Dom zu Magdeburg, dankt Bürgermeister und Rat der Stadt Braunschweig für eine ihm angebotene Stelle, lehnt aber ab, Magdeburg, 22. Juli 1613.","1613-07-22","1613-07-22","Stadtarchiv Braunschweig",,,"Teil einer Akte mit anderen Schreiben des Magdeburger Rates und unterschiedlicher privater Absender aus Magdeburg an den Rat der Stadt Braunschweig.",,,,,,,,,"2025-06-18 07:30:53","2025-06-18 07:30:53","06.11 andere Bürger und Einwohner","Personalangelegenheiten","StA Braunschweig, B IV 2g: 11, fol. 47r-48v",,,"Schreiben an den Rat aus Magdeburg","Eigenhändiges Schreiben mit aufgedrücktem Verschlusssiegel, dt.,Tinte auf Papier, Archivvermerk (19. Jh.), Rückseite: Adresse, Kanzleivermerk (17. Jh.), Archivvermerk (19. Jh.).",,,,,"B_IV_2g_11_0039.jpg;B_IV_2g_11_0040.jpg;B_IV_2g_11_0041.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503040624588.545448888037"
"1509","6","6","Magister Jacobus Gilbertus de Spaignart, ehemaliger Pfarrer zu St. Katherinen im Hagen zu Braunschweig, bittet den Rat zu Braunschweig um ein Zeugnis, Magdeburg, 25. Mai 1616.","1616-05-25","1616-05-25","Stadtarchiv Braunschweig",,,"Teil einer Akte mit anderen Schreiben des Magdeburger Rates und unterschiedlicher privater Absender aus Magdeburg an den Rat der Stadt Braunschweig. Der Hagen ist eines von fünf Weichbilden der Stadt Braunschweig. 1269 vereinigte sich der Weichbildrat des Hagen mit dem der Altstadt und der Neustadt von Braunschweig zu einem neuen, dem sogenannten „Gemeinen Rat“. Zur Person Jakob Gilbert (vor 1568-1616): Dt. ev. Theologe, 1568 Student in Wittenberg (Magister), 1581-1586 Organist in Torgau, 09. Mai 1586 in Wittenberg ordiniert, 1586-1587 kurzzeitig Archidiakon in Helmstedt, 1587-1592 Archidiakon in Dommitzsch, 1592-1595 Oberpfarrer in Ermsleben, 1596-1609 Pastor in Beetzendorf, 1609-1616 erster Pfarrer an St. Katharinen in Braunschweig (Pfarrerbuch der Kirchenprovinz Sachsen, Bd. 3 (2005), S. 274-275). Teil einer Akte mit anderen Schreiben des Magdeburger Rates und unterschiedlicher privater Absender aus Magdeburg an den Rat der Stadt Braunschweig.",,,,,,,,,"2025-06-18 07:49:17","2025-06-18 07:30:53","06.11 andere Bürger und Einwohner","Personalangelegenheiten","StA Braunschweig, B IV 2g: 11, fol. 56r-57v",,,"Schreiben an den Rat aus Magdeburg","Eigenhändiges Schreiben, dt., Tinte auf Papier, Archivvermerk (19. Jh.), Rückseite: Adresse, Kanzleivermerk (17. Jh.), Archivvermerk (19. Jh.).",,,,,"B_IV_2g_11_0042.jpg;B_IV_2g_11_0043.jpg;B_IV_2g_11_0044.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503040625515.655972980951"
"1510","7","7","Otto von Guericke (""Otto Gericke"") bittet den Rat zu Braunschweig um Zahlung fälliger Zinsen in Höhe von 72,5 Reichstalern aus dem Stipendium, das sein Großvater testamentarisch errichtet hat, um mit dem Geld Bücher zu kaufen und sein Studium fortsetzen zu können, Magdeburg, 25. Juni 1625.","1625-06-25","1625-06-25","Stadtarchiv Braunschweig",,,"Teil einer Akte mit anderen Schreiben des Magdeburger Rates und unterschiedlicher privater Absender aus Magdeburg an den Rat der Stadt Braunschweig.",,,,,,,,,"2025-06-18 07:34:33","2025-06-18 07:30:53","06.03 Familie Gericke","Geldangelegenheiten (privat)","StA Braunschweig, B IV 2g: 11, fol. 63r-64v",,,"Schreiben an den Rat aus Magdeburg","Eigenhändiges Schreiben mit aufgedrücktem Sekretsiegel, dt., Tinte auf Papier, archivischer Vermerk (19. Jh.) mit fehlerhafter Datierung, Rückseite: Adresse, Kanzleivermerk (17. Jh.), Archivvermerk (19. Jh.).",,"""""""P:Dateiablage - nach Aktenzeichen87 14 01   ForschungsprojekteMagdeburger SpurenTest 07_Kontext.docx""""""","""""""P:Dateiablage - nach Aktenzeichen87 14 01   ForschungsprojekteMagdeburger SpurenTest 07_Transkription Guericke-Brief 1625.docx""""""",,"B_IV_2g_11_0045.jpg;B_IV_2g_11_0046.jpg;B_IV_2g_11_0047.jpg","3154",,,,"urn:nbn:de:gbv:ma26-2503040622485.824961700450"
"1511","8","8","Bürgermeister, Rat und Innungsmeister der Stadt Magdeburg beglückwünschen den Rat der Stadt Braunschweig dazu, dass die Pest in Braunschweig nachgelassen hat. Sie werden weiterhin in den Kirchen für die Stadt Braunschweig beten lassen und laden zugleich die Braunschweiger Kaufleute zum Besuch des Fastelabendmarktes in Magdeburg ein, Magdeburg, 27. Januar 1610.","1610-01-27","1610-01-27","Stadtarchiv Braunschweig",,,"Enthält nur dieses Schreiben.",,,,,,,,,"2025-06-18 07:30:53","2025-06-18 07:30:53","02.01.05.01 Braunschweig","Wirtschafts- und Finanzbeziehungen","Stadtarchiv Braunschweig, B IV 10a: 28",,,"Besuch des Fastelabendmarktes zu Magdeburg durch die Braunschweiger Kaufleute","Ausfertigung mit aufgedrücktem Sekretsiegel, unfol., dt., Tinte auf Papier, archivischer Vermerk (19. Jh.), Rückseite: Adresse, Kanzleivermerk (17. Jh.), Archivvermerk (19. Jh.).",,,,,"B_IV_10a_28_0002.jpg;B_IV_10a_28_0003.jpg;B_IV_10a_28_0004.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503040623216.656819536281"
"1512","9","9","Schreiben des Dr. Martin Köppe an Theodor Pruse, Syndikus zu Braunschweig, wegen der Bestallung eines weiteren Physikus, Magdeburg, am Abend Laurentii 1563.","1563-08-10","1563-08-15","Stadtarchiv Braunschweig",,,"Dr. Martin Köppe (vor 1528-1581), Bürgermeister in Magdeburg. Dr. med. Gervasius Marstaller (geb. um 1520, gest. 1578), war Leibarzt der Herzöge von Braunschweig und Anhalt, Professor für Medizin in Jena sowie schließlich in Celle tätig",,,,,,,,,"2025-06-18 07:49:29","2025-06-18 07:30:53","06.11 andere Bürger und Einwohner","Wirtschafts- und Finanzbeziehungen","StA Braunschweig, B IV 13c: 14, fol. 2r-4v","Beilagen: Bitte des Gervasius Marstaller um Einstellung eines Physikus, 11. August 1563. Antwortschreiben des Theodor Pruse, 15. August 1563.",,"Dr. Martin Köppe, Physicus zu Magdeburg, insbesondere seine geplante Berufung nach Braunschweig","Eigenhändiges Schreiben mit aufgedrücktem Sekretsiegel, dt., Tinte auf Papier, Rückseite: Adresse, Kanzleivermerk (17. Jh.).","010",,,,"B_IV_13c_14_0002.jpg;B_IV_13c_14_0003.jpg;B_IV_13c_14_0004.jpg;B_IV_13c_14_0005.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503040623487.558456451477"
"1513","10","10","Schreiben des Dr. Martin Köppe [des Jüngeren], Medikus in Magdeburg, an Bürgermeister und Rat zu Braunschweig wegen Injurien, Magdeburg, 16. Juli 1605.","1605-07-16","1605-07-16","Stadtarchiv Braunschweig",,,"Martin Köppe (1554-1615) wahrscheinlich Sohn von Martin Köppe (vor 1528-1581)",,,,,,,,,"2025-06-18 07:30:53","2025-06-18 07:30:53","06.11 andere Bürger und Einwohner","Juristische Angelegenheiten","StA Braunschweig, B IV 13c: 14, fol. 10r-10v",,,"Dr. Martin Köppe, Physicus zu Magdeburg, insbesondere seine geplante Berufung nach Braunschweig","Eigenhändiges Schreiben mit aufgedrücktem Sekretsiegel, dt., Tinte auf Papier, archivische Vermerke (19. JH.), Rückseite: Adresse, Kanzleivermerk (17. Jh.).","009",,,,"B_IV_13c_14_0012.jpg;B_IV_13c_14_0013.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502050743475.467558272276"
