do_intid,do_archivsignatur,do_titel,do_datum_findbuch,do_klassifikation1,do_klassifikation2,do_fotograf,do_rechte,do_provenienz,do_format,do_negativmaterial,do_dateiname,do_create,do_update,ix_col1,ix_col2,copyright,ki_verfahren
"9608","8512","Arbeiter im Großkraftwerk (MIKRAMAG)","1931","26. Industriegelände Rothensee","30. MagdeburgerInnen",,"Stadtarchiv  Magdeburg","Hochbauamt","6,5 x 9","Glasplatte","Großkraftwerk_Turbinenkondensatoren_17_7_31_6a_8512.jpg","2019-03-27 09:51:26","2019-03-27 09:51:26",4373_1031_1_col1.jpg,4373_1031_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
"8803","1788","Vorplatz zum Ausstellungsgelände und im Hintergrund der Heinrich-Heine-Platz, Rotehornpark","um 1928","24. Stadthalle und Ausstellungsgelände",,,"Stadtarchiv  Magdeburg","Hochbauamt","24 x 30","Glasplatte","Rotehorn_Vorplatz_19a_1788.jpg","2019-03-27 09:51:25","2019-03-27 09:51:25",4373_226_1_col1.jpg,4373_226_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
"8827","6566","Ausstellung Wohnung für das Existenzminimum, Reklamegestell vor der Ausstellungshalle","13. Sep 29","5. Höhepunkte des städtischen Lebens",,,"Stadtarchiv  Magdeburg","Hochbauamt","13 x 18","Glasplatte","Ausstellung_Wohnung_Existenzmini_13_9_30_19b_6566.jpg","2019-03-27 09:51:25","2019-03-27 09:51:25",4373_250_1_col1.jpg,4373_250_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
"8954","2464","Volksschule Rothensee, Gesamtansicht von Südost","15. Feb 27","16. Neue Schulen",,,"Stadtarchiv  Magdeburg","Hochbauamt","24 x 30","Glasplatte","Schule_MD_Rothensee_15_2_27_21_2464.jpg","2019-03-27 09:51:25","2019-03-27 09:51:25",4373_377_1_col1.jpg,4373_377_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
"9053","5340","Kinder auf dem Jahnsportplatz, Werner-Fritze-Straße (heute: Erich-Weinert-Straße)","12. Sep 29","19. Freizeit und Sport",,,"Stadtarchiv  Magdeburg","Hochbauamt","13 x 18","Glasplatte","Staedtische_Sportplaetze_Jahnturnplatz_12_9_29_25_5340.jpg","2019-03-27 09:51:25","2019-03-27 09:51:25",4373_476_1_col1.jpg,4373_476_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
"9058","6089","Mädchen beim orthopädischen Turnen, Turnhalle Peter-Paul-Straße","03. Apr 30","17. Gesundheit und Wohlfahrt","19. Freizeit und Sport",,"Stadtarchiv  Magdeburg","Hochbauamt","13 x 18","Glasplatte","Turnhalle_Peter_Paulstr_orthopaed_Turnen_3_4_30_25_6089.jpg","2019-03-27 09:51:25","2019-03-27 09:51:25",4373_481_1_col1.jpg,4373_481_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
"9162","5192","Kinderuntersuchung im Wohlfahrtsamt (Kinderfürsorge)","01. Aug 29","17. Gesundheit und Wohlfahrt",,,"Stadtarchiv  Magdeburg","Hochbauamt","13 x 18","Glasplatte","Wohlfahrtsamt_Kinderuntersuchung_1_8_29_29b_5192.jpg","2019-03-27 09:51:25","2019-03-27 09:51:25",4373_585_1_col1.jpg,4373_585_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
"9253","985","Hermann-Beims-Siedlung, Rohbauten in der Völpker Straße","1927","8. Hermann-Beims-Siedlung",,,"Stadtarchiv  Magdeburg","Hochbauamt","24 x 30","Glasplatte","Hermann_Beims_Siedlung_21_2_27_34a_985.jpg","2019-03-27 09:51:25","2019-03-27 09:51:25",4373_676_1_col1.jpg,4373_676_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
"9428","6298","Bereitstellung von Wohnraum für Haushalte mit Lungenkranken, Am Schroteanger","1930","17. Gesundheit und Wohlfahrt",,,"Stadtarchiv  Magdeburg","Hochbauamt","13 x 18","Glasplatte","Schroteanger_Haus_Lungenkranke_25_8_30_37_6298.jpg","2019-03-27 09:51:25","2019-03-27 09:51:25",4373_851_1_col1.jpg,4373_851_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
"9481","6015","Siedlung Westernplan, Wohnung von Stadtbaurat Johannes Göderitz in der Hugo-Preuß-Straße (heute: Röntgenstraße) 17","1930","12. Siedlung Westernplan",,,"Stadtarchiv  Magdeburg","Hochbauamt","24 x 30","Glasplatte","Wohnung_Stadtbaurat_Goederitz_29_4_30_37_6015.jpg","2019-03-27 09:51:25","2019-03-27 09:51:25",4373_904_1_col1.jpg,4373_904_1_col2.jpg,"Stadtarchiv Magdeburg","flux-kontext-pro+deoldify (Lab-Ensemble)"
